Iteration	People Count	UAV_X	UAV_Y	UAV_Z
1	10	0.07800320101707484	0.014606932399396116	1.0
2	5	0.09708054058004123	-0.0576615983320332	1.0
3	7	0.07501745900646209	-0.02328473285647574	1.0
4	6	0.10904675329264865	0.008299493161894364	1.0
5	10	0.0540826842257362	0.10754731622172607	1.0
6	9	0.0009157719652179985	0.1216656215815049	1.0
7	6	0.042637330035494136	0.17315277759116915	1.0
8	6	0.024068804105101982	0.12258591760127657	1.0
9	6	-0.017650197771567636	0.17315326117289973	1.0
10	8	-0.0020480316493794865	0.08269845569796809	1.0
11	7	0.0909481454194646	-0.004848746455427155	1.0
12	10	0.12008884193445805	0.00929507055431232	1.0
13	7	0.21358438040912509	-0.06848311536737033	1.0
14	5	0.15389207770508037	-0.1027987760537488	1.0
15	10	0.20184414080415794	-0.07988642421039978	1.0
16	8	0.22840256507518078	0.00020305041255773426	1.0
17	8	0.22519709094492468	0.06516141407548161	1.0
18	7	0.2507739957689703	0.05079569493811739	1.0
19	6	0.23326771078764064	0.08766776501292031	1.0
20	7	0.22602031651650062	0.06765944899083046	1.0
21	8	0.27281999579101374	0.05084467918135474	1.0
22	6	0.302518874370435	0.08070665292700532	1.0
23	7	0.3523525036660457	0.13247157522824662	1.0
24	9	0.4382874870487689	0.05366214596539062	1.0
25	8	0.4997379344815218	0.05966363247740952	1.0
26	9	0.4015903239584784	0.10898252892994806	1.0
